location,usd_price,bedrooms,bathrooms,surface_m²,parking
Colonia Miramontes,323631.0,3,3.0,325.0,1.0
Colonia Tepeyac,976000.0,4,5.0,620.0,2.0
Castaños Sur,243000.0,4,3.0,665.0,2.0
Colonia San Ignacio,440000.0,4,3.0,400.0,0.0
Colonia 15 de Septiembre,263188.0,5,3.0,336.0,2.0
Residencial Lomas del Dorado,123480.0,3,2.0,151.0,1.0
Colonia Loma Linda Norte,300000.0,7,6.0,289.0,5.0
Lomas de Toncontin,145634.0,3,2.0,250.0,1.0
Residencial Palma Real,262950.0,3,4.0,240.0,2.0
Tegucigalpa,88660.0,4,2.0,175.0,2.0
El Hatillo,275154.0,3,2.0,290.0,5.0
Villa Elena,350000.0,3,2.0,350.0,4.0
Villa Elena,757000.0,5,6.0,2640.0,5.0
Tegucigalpa,552817.0,4,4.0,564.0,5.0
Tegucigalpa,215139.0,3,2.0,159.0,2.0
Residencial Monte Real,256223.0,4,3.0,238.0,4.0
El Sauce,295000.0,3,5.0,250.0,2.0
Residencial Las Uvas,240079.0,4,4.0,374.0,2.0
Tegucigalpa,90456.0,3,2.0,102.0,2.0
Colonia San Ignacio,1269450.0,6,6.0,516.0,5.0
Colonia Tres Caminos,400000.0,5,5.0,430.0,2.0
Barrio La Bolsa,55000.0,3,2.0,205.0,0.0
Colonia Universidad Norte,202452.0,3,2.0,374.0,2.0
Colonia Lomas del Mayab,351793.0,3,2.0,188.0,4.0
Colonia Tepeyac,812000.0,4,4.0,600.0,4.0
Colonia San Carlos,499000.0,4,3.0,483.0,3.0
Colonia Palmira,251281.0,4,3.0,335.0,3.0
Residencial Las Hadas,159793.0,3,2.0,155.0,0.0
Residencial Portal Canarias,132891.0,3,2.0,183.0,2.0
Residencial Monte Real,155747.0,3,2.0,120.0,2.0
Residencial El Sauce,900000.0,5,5.0,750.0,4.0
Residencial Las Hadas,600000.0,4,5.0,665.0,5.0
Colonia Los Angeles,695000.0,3,4.0,620.0,2.0
Residencial Roble Oeste,210000.0,3,2.0,135.0,2.0
Colonia América,1000.0,5,5.0,915.0,0.0
Residencial Las Cascadas,270000.0,3,3.0,349.0,3.0
Residencial Las Cascadas,270000.0,4,4.0,349.0,3.0
Residencial Las Cascadas,205025.0,4,3.0,174.0,2.0
Residencial Las Cascadas,1000000.0,7,6.0,1200.0,5.0
El Hatillo,466432.0,4,3.0,580.0,0.0
El Hatillo,480000.0,4,3.0,410.0,4.0
Tegucigalpa,297286.0,3,2.0,230.0,2.0
El Hatillo,1200000.0,5,5.0,800.0,0.0
El Hatillo,750000.0,4,3.0,545.0,4.0
Colonia Miraflores Sur,260000.0,3,3.0,247.0,2.0
Boulevard Morazán,339983.0,3,4.0,240.0,0.0
Colonia Lomas del Mayab,514919.0,5,4.0,410.0,0.0
Colonia 15 de Septiembre,360588.0,3,3.0,287.0,0.0
Boulevard Morazán,319378.0,4,2.0,290.0,0.0
Colonia Lomas del Mayab,472885.0,3,3.0,300.0,0.0
Colonia Ciudad Nueva,337922.0,2,3.0,644.0,0.0
Colonia Lomas del Guijarro,927225.0,4,4.0,739.0,0.0
Colonia Lomas del Guijarro,514919.0,3,3.0,400.0,0.0
Colonia Alameda,281258.0,3,3.0,390.0,0.0
Colonia El Hatillo,618150.0,3,4.0,709.0,0.0
Colonia El Hatillo,592394.0,3,3.0,527.0,0.0
Colonia Lomas del Guijarro,360588.0,3,4.0,400.0,0.0
Colonia Lomas del Mayab,649058.0,3,4.0,616.0,0.0
Colonia Lomas del Guijarro,376041.0,3,3.0,400.0,0.0
Colonia El Hatillo,669663.0,4,4.0,568.0,0.0
Colonia Lomas del Mayab,294652.0,4,3.0,385.0,0.0
Colonia Las Hadas,338952.0,3,3.0,296.0,0.0
Colonia Lomas del Mayab,291458.0,2,2.0,144.0,0.0
Colonia El Hatillo,468764.0,4,3.0,580.0,0.0
Colonia El Hatillo,618150.0,3,3.0,710.0,0.0
Colonia Lomas del Mayab,628453.0,3,2.0,350.0,0.0
Colonia Las Hadas,226655.0,3,2.0,275.0,0.0
Residencial San Ignacio,546033.0,3,3.0,365.0,0.0
Colonia Lomas del Guijarro  Sur,376041.0,3,3.0,400.0,0.0
Colonia Lomas del Guijarro  Sur,1178893.0,4,4.0,1122.0,0.0
Colonia Lomas del Mayab,345134.0,4,4.0,415.0,0.0
Colonia Lomas del Mayab,628453.0,3,2.0,850.0,0.0
Colonia Rubén Darío,473915.0,4,4.0,490.0,0.0
Colonia Lomas del Guijarro  Sur,471855.0,4,4.0,311.0,0.0
Colonia Lomas del Guijarro,566638.0,4,4.0,400.0,0.0
Colonia Lomas del Mayab,489369.0,3,3.0,455.0,0.0
Colonia Lomas del Mayab,345134.0,4,4.0,415.0,0.0
Colonia Lomas del Mayab,473914.0,3,2.0,350.0,0.0
Residencial Las Hadas,618150.0,3,3.0,480.0,0.0
Colonia El Hatillo,360588.0,3,3.0,1.0,0.0
Colonia Cerro Grande,359557.0,3,3.0,850.0,0.0
Colonia Palmira,976677.0,4,4.0,2114.0,0.0
Colonia Lomas del Mayab,294652.0,4,4.0,385.0,0.0
Residencial San Ignacio,714568.0,4,3.0,700.0,0.0
Colonia Lomas del Mayab,356818.0,4,4.0,397.0,0.0
Colonia Florencia Sur,306654.0,3,4.0,225.0,0.0
La Reforma,315257.0,4,2.0,735.0,0.0
Colonia Lomas del Mayab,473914.0,3,3.0,350.0,0.0
Barrio Salida a Valle De Angeles,200899.0,4,4.0,287.0,0.0
Colonia Lomas del Guijarro,566638.0,4,4.0,400.0,0.0
Residencial San Ignacio,1184788.0,4,4.0,780.0,0.0
Residencial La Hacienda,950000.0,4,4.0,700.0,4.0
Colonia Lomas del Guijarro,199899.0,3,2.0,156.0,2.0
Colonia Rubén Darío,288000.0,3,3.0,298.0,2.0
Colonia Loma Linda Norte,1025124.0,4,4.0,500.0,2.0
Colonia Humuya,420000.0,5,5.0,893.0,4.0
Colonia Florencia Norte,512562.0,4,4.0,627.0,2.0
Colonia Florencia Norte,595000.0,3,3.0,450.0,4.0
Colonia Florencia Oeste,583000.0,6,6.0,700.0,0.0
Colonia Lomas del Mayab,645828.0,4,3.0,616.0,2.0
Colonia Lomas del Mayab,335000.0,4,4.0,415.0,3.0
Colonia Lomas del Mayab,471557.0,3,3.0,350.0,2.0
Colonia Lomas del Mayab,460000.0,3,2.0,350.0,2.0
Colonia Lomas del Mayab,630000.0,4,3.0,616.0,4.0
Lomas del Guijarro Sur,390000.0,3,3.0,400.0,2.0
Lomas del Guijarro Sur,376921.0,4,4.0,325.0,0.0
Colonia Lomas del Guijarro,750000.0,3,3.0,490.0,4.0
Colonia Lomas del Guijarro,395000.0,5,4.0,625.0,4.0
Colonia Palmira,385000.0,5,5.0,495.0,4.0
Colonia Las Palomas,1004622.0,6,6.0,380.0,4.0
Viera,285000.0,4,4.0,387.0,3.0
Tegucigalpa,480000.0,4,3.0,370.0,3.0
Colonia Los Angeles,600000.0,4,4.0,832.0,2.0
Residencial Plaza,101500.0,3,3.0,86.0,2.0
Colonia Las Minitas,325000.0,3,2.0,222.0,5.0
Colonia La Pradera,81000.0,4,3.0,128.0,1.0
Colonia Alameda,325000.0,3,2.0,810.0,3.0
Barrio Guadalupe,101500.0,5,3.0,146.0,0.0
Residencial Las Uvas,98904.0,3,3.0,104.0,0.0
Tegucigalpa,222318.0,3,2.0,250.0,2.0
Tegucigalpa,48545.0,3,2.0,58.0,0.0
Residencial El Sauce,315784.0,6,5.0,327.0,2.0
Residencial Altos de Miramontes,480000.0,3,3.0,527.0,4.0
Colonia Centro América Oeste,39974.0,2,1.0,89.0,0.0
La Joya,408095.0,4,2.0,430.0,0.0
Colonia La Reforma,281165.0,6,4.0,1190.0,3.0
Colonia El Recreo,333893.0,4,4.0,1050.0,0.0
Tegucigalpa,225000.0,3,3.0,233.0,2.0
Residencial Altos de Venecia,120000.0,3,2.0,136.0,2.0
Residencial Pinares del Uyuca,384483.0,4,5.0,904.0,0.0
Colonia Los Angeles,600000.0,5,5.0,620.0,2.0
Paseo El Manchen,110000.0,5,4.0,192.0,0.0
Victor F. Ardon,97912.0,4,3.0,95.0,1.0
Colonia Altos de Miramonte,342550.0,4,4.0,430.0,4.0
Residencial Las Uvas,203351.0,4,3.0,175.0,3.0
2PXW+P6F,120000.0,2,3.0,145.0,2.0
Residencial Roble Oeste,161856.0,3,2.0,144.0,2.0
Colonia Los Profesionales,439239.0,6,6.0,663.0,0.0
Tegucigalpa,160000.0,3,2.0,418.0,2.0
Tegucigalpa,125000.0,3,3.0,120.0,2.0
Residencial Las Uvas,420000.0,5,6.0,518.0,0.0
Residencial La Cumbre,260000.0,4,4.0,295.0,0.0
Altos de Las Casitas,100000.0,3,3.0,105.0,2.0
Colonia Montecarlo,261950.0,7,6.0,452.0,0.0
Vista Hermosa,60708.0,3,3.0,90.0,0.0
Tiloarque,93833.0,4,3.0,171.0,2.0
Tiloarque,64755.0,2,1.0,90.0,1.0
Colonia Florencia Sur,290000.0,4,3.0,385.0,2.0
Colonia Humuya,291275.0,7,6.0,664.0,5.0
Colonia Humuya,149508.0,3,3.0,483.0,2.0
Colonia La Primavera,265179.0,5,4.0,330.0,3.0
Colonia Florencia Oeste,275000.0,3,2.0,270.0,2.0
Villas Las Palmeras,93753.0,3,3.0,104.0,0.0
Anillo Periférico,181897.0,3,2.0,212.0,2.0
Colonia Tepeyac,288008.0,3,3.0,559.0,2.0
Colonia 21 de Octubre,70057.0,5,3.0,182.0,0.0
Colonia Honduras,37089.0,2,2.0,314.0,0.0
Residencial Villas Palmeras,96844.0,3,3.0,105.0,0.0
Tegucigalpa,226655.0,3,4.0,273.0,0.0
Tegucigalpa,187506.0,3,2.0,205.0,0.0
Colonia Castaño Sur,360588.0,3,4.0,437.0,0.0
Colonia Centro America Este,160719.0,3,3.0,109.0,0.0
Barrio La Granja,216353.0,3,2.0,758.0,0.0
Tegucigalpa,144235.0,3,3.0,100.0,0.0
Residencial Altos de Miraflorws,185445.0,4,4.0,245.0,0.0
Residencial Santa Cruz,247.0,4,4.0,396.0,2.0
Colonia 15 de Septiembre,247260.0,4,4.0,337.0,0.0
Portal del Bosque,194717.0,3,2.0,179.0,0.0
Residencial Altos del Trapiche,113328.0,3,2.0,110.0,0.0
Colonia Miraflores,115388.0,3,2.0,130.0,0.0
Residencial El Trapiche,267865.0,4,4.0,365.0,0.0
Colonia América,164840.0,3,2.0,210.0,0.0
Urbanización Loma Verde,360588.0,3,2.0,443.0,0.0
Distrito Central,257563.0,4,4.0,410.0,0.0
Colonia Los Robles,166901.0,4,3.0,231.0,0.0
Residencial El Trapiche,218825.0,3,3.0,240.0,0.0
Colonia El Hato o San Ignacio,381193.0,3,3.0,800.0,0.0
Colonia Zona Miraflores Sur,184415.0,3,4.0,250.0,0.0
Portal del Bosque,133933.0,3,2.0,129.0,0.0
Residencial Villa Santa Cristina,98904.0,3,3.0,140.0,0.0
Residencial El Trapiche,276107.0,4,4.0,330.0,0.0
Colonia Lomas del Guijarro,386344.0,3,3.0,440.0,0.0
Colonia Miramontes,267865.0,4,3.0,308.0,0.0
Los Laureles,44301.0,2,1.0,56.0,0.0
El Hato,156598.0,3,2.0,142.0,0.0
Colonia Hato de Enmedio Sector 1,53573.0,3,2.0,140.0,0.0
Colonia Tiloarque,78299.0,4,3.0,92.0,0.0
Residencial Las Uvas,106116.0,3,2.0,123.0,0.0
Distrito Central,149386.0,4,4.0,160.0,0.0
Colonia Toncontin,103025.0,3,2.0,216.0,0.0
Colonia Tres Caminos,618150.0,4,3.0,280.0,0.0
Colonia Ciudad Nueva,360588.0,4,4.0,400.0,0.0
Residencial Villas del Real,115903.0,5,4.0,133.0,0.0
Colonia San Carlos,278168.0,3,4.0,727.0,0.0
Colonia Las Minitas,164840.0,3,2.0,215.0,0.0
Urbanización Loma Verde,125691.0,3,2.0,220.0,0.0
Tegucigalpa,185445.0,3,3.0,173.0,0.0
Barrio Pueblo Nuevo,180294.0,3,3.0,220.0,0.0
Residencial Las Uvas,154538.0,3,3.0,202.0,0.0
Colonia Villa los Laureles,86541.0,3,3.0,118.0,0.0
Colonia Loma Linda Sur,494520.0,3,3.0,600.0,0.0
Cerro Grande,67997.0,5,3.0,164.0,0.0
Residencial Santa Cristina,55634.0,3,2.0,78.0,0.0
Residencial Altos del Trapiche,159689.0,4,3.0,225.0,0.0
Residencial El Trapiche,288470.0,3,3.0,235.0,0.0
Portal del Bosque,175143.0,3,2.0,165.0,0.0
Colonia El Manantial,53573.0,2,1.0,150.0,0.0
Residencial San Ignacio,360588.0,3,3.0,250.0,0.0
Residencial Las Uvas,152477.0,3,2.0,241.0,0.0
Colonia América,96844.0,3,2.0,93.0,0.0
Residencial Roble Oeste,113328.0,3,4.0,145.0,0.0
Colonia Altos de Toncontin,82420.0,3,3.0,160.0,0.0
Colonia Los Robles,159689.0,3,3.0,245.0,0.0
Colonia Lomas del Guijarro,180294.0,2,2.0,105.0,0.0
Colonia Centroamérica 1 y 2,95401.0,4,3.0,141.0,0.0
Villas de Real,94783.0,4,3.0,135.0,0.0
Tegucigalpa,293621.0,3,3.0,232.0,0.0
Residencial El Sauce,211201.0,4,4.0,224.0,0.0
Residencial El Sauce,154538.0,4,4.0,150.0,0.0
La Humuya,257563.0,5,3.0,250.0,0.0
Colonia 15 de Septiembre,185445.0,3,4.0,352.0,0.0
Colonia Los Angeles,252411.0,3,3.0,279.0,0.0
San Ignacio,226655.0,3,3.0,240.0,0.0
"Residencial Centroamérica, 4ta Etapa",159689.0,3,3.0,180.0,0.0
Tegucigalpa,90662.0,3,2.0,210.0,0.0
Residencial Las Uvas,123630.0,3,2.0,205.0,0.0
Colonia Miraflores,167931.0,3,2.0,160.0,0.0
Residencial Las Uvas,610114.0,3,3.0,350.0,0.0
Residencial Las Uvas,164840.0,3,2.0,258.0,0.0
Colonia Venecia,123630.0,3,2.0,176.0,0.0
Colonia Venecia,103025.0,3,3.0,133.0,0.0
Residencial Honduras,45331.0,3,2.0,89.0,0.0
Residencial El Trapiche,412100.0,5,4.0,432.0,0.0
Colonia El Hatillo,473915.0,4,4.0,330.0,0.0
Colonia Miraflores Sur,184518.0,3,3.0,200.0,0.0
Residencial Altos del Trapiche,288470.0,4,4.0,525.0,0.0
Residencial Altos de Monte Real,142175.0,4,3.0,310.0,0.0
Colonia El Manantial,74178.0,3,2.0,100.0,0.0
Colonia El Hatillo,156598.0,2,2.0,1062.0,0.0
Colonia Centroamerica Oeste,39150.0,4,3.0,120.0,0.0
Residencial Las Uvas,92383.0,3,3.0,140.0,0.0
Residencial San Ignacio,334831.0,3,2.0,307.0,0.0
Tegucigalpa,86541.0,3,3.0,128.0,0.0
Residencial Las Hadas,669663.0,4,4.0,450.0,0.0
Colonia Lomas del Guijarro,221504.0,3,3.0,280.0,0.0
Tegucigalpa,247260.0,3,3.0,389.0,0.0
Colonia Miraflores,143205.0,5,3.0,160.0,0.0
Residencial San Ignacio,463613.0,4,4.0,482.0,0.0
Colonia Venecia,94783.0,3,3.0,120.0,0.0
Tegucigalpa,131872.0,4,2.0,97.0,0.0
Cerro Grande,247260.0,4,3.0,153.0,0.0
Residencial Concepcion,80360.0,3,3.0,122.0,0.0
El Sauce,190596.0,3,3.0,170.0,0.0
Residencial El Trapiche,309075.0,4,4.0,278.0,0.0
Colonia El Hato o San Ignacio,381193.0,3,3.0,374.0,0.0
Colonia Lomas del Guijarro,309075.0,3,3.0,300.0,0.0
Lomas del Hatillo,489369.0,3,3.0,500.0,0.0
Monte Fresco,139084.0,3,3.0,270.0,0.0
Residencial San Ignacio,535730.0,3,3.0,391.0,0.0
Distrito Central,618150.0,3,3.0,459.0,0.0
Colonia Lomas del Guijarro,515730.0,4,4.0,707.0,0.0
El Trapiche,216353.0,3,3.0,190.0,0.0
Colonia Los Angeles,160719.0,3,3.0,286.0,0.0
Residencial San Sebastian,98904.0,3,3.0,140.0,0.0
La Calera,412100.0,5,4.0,376.0,0.0
Colonia Centroamérica Etapa 1 y 2,69233.0,5,3.0,180.0,0.0
Colonia Villas del Río,70057.0,3,1.0,170.0,0.0
Colonia Los Robles,175143.0,3,3.0,220.0,0.0
Residencial Santa Cristina,90662.0,4,3.0,140.0,0.0
Los Robles,195748.0,4,4.0,288.0,0.0
Tegucigalpa,242109.0,3,3.0,309.0,0.0
Los Robles,190596.0,4,3.0,212.0,0.0
Distrito Central,324529.0,4,4.0,350.0,0.0
Residencial La Cumbre,309075.0,3,4.0,411.0,0.0
Residencial Las Uvas,226655.0,3,2.0,265.0,0.0
Colonia El Sauce,159.0,3,2.0,190.0,2.0
Colonia Loma Linda Sur,175143.0,4,3.0,160.0,0.0
Colonia Florencia Sur,216.0,3,3.0,140.0,2.0
Residencial Honduras,65318.0,2,3.0,151.0,0.0
Residencial Las Hadas,247260.0,3,3.0,245.0,0.0
Barrio Pueblo Nuevo,185445.0,3,3.0,147.0,0.0
Colonia Miramontes,123630.0,4,3.0,200.0,0.0
Colonia Tepeyac,370890.0,3,3.0,383.0,0.0
Residencial El Trapiche,276107.0,4,4.0,330.0,0.0
Residencial Prados Universitarios,49.0,2,1.0,75.0,0.0
Portal del Bosque,168961.0,3,2.0,158.0,0.0
Residencial Pinares del Valle,298773.0,3,4.0,400.0,0.0
Cerro Grande,144235.0,4,3.0,153.0,0.0
Tegucigalpa,131872.0,3,2.0,205.0,0.0
Colonia Alemania 1,39150.0,2,1.0,100.0,0.0
Colonia 15 de Septiembre,185445.0,3,2.0,260.0,0.0
Residencial Las Uvas,216353.0,3,4.0,182.0,0.0
Colonia Las Lomas del Guijarro Sur,437.0,3,3.0,340.0,2.0
El Sauce,185445.0,3,3.0,187.0,0.0
Barrio Pueblo Nuevo,156392.0,3,3.0,200.0,0.0
Residencial Viera,154538.0,3,2.0,180.0,0.0
Colonia América,103025.0,3,2.0,88.0,0.0
Residencial Villas del Campo km 8 carretera a Danlí,115388.0,3,2.0,166.0,0.0
Residencial Las Uvas,123630.0,3,4.0,197.0,0.0
Residencial Las Uvas,115388.0,3,2.0,123.0,0.0
Barrio La Granja,195748.0,3,2.0,256.0,0.0
Residencial Las Uvas,231806.0,4,4.0,220.0,0.0
Los Laureles,80360.0,3,3.0,118.0,0.0
Colonia Cerro Grande,171022.0,3,4.0,453.0,0.0
Colonia Villa los Laureles,118479.0,4,4.0,140.0,0.0
Colonia Miraflores,181566.0,3,3.0,200.0,0.0
Colonia Tiloarque,90662.0,4,3.0,188.0,0.0
Colonia San Ignacio,442.0,4,5.0,483.0,5.0
Residencial El Portillo,81596.0,3,3.0,100.0,0.0
Tegucigalpa,78.0,3,2.0,92.0,2.0
Tegucigalpa,360.0,3,3.0,250.0,2.0
Barrio La Granja,206050.0,3,3.0,359.0,0.0
Colonia Tres Caminos,222534.0,4,4.0,275.0,0.0
Colonia Humuya,190596.0,4,4.0,200.0,0.0
Tegucigalpa,550000.0,3,4.0,520.0,0.0
Colonia Calpules,35029.0,3,2.0,70.0,0.0
Colonia El Sitio,53.0,3,2.0,148.0,2.0
Colonia San Angel,53532.0,4,1.0,1.0,0.0
Residencial Agua Dulce,365000.0,4,4.0,426.0,0.0
Residencial Agua Dulce,111267.0,3,3.0,135.0,0.0
Colonia Tres Caminos,604500.0,3,3.0,404.0,5.0
Residencial Las Hadas,260000.0,3,3.0,414.0,2.0
Portal del Bosque,205000.0,4,4.0,160.0,2.0
Tegucigalpa,180000.0,3,3.0,170.0,0.0
Colonia Los Angeles,264357.0,6,6.0,685.0,5.0
Residencial Las Hadas,151700.0,3,3.0,187.0,5.0
Portal del Bosque,175000.0,3,2.0,136.0,0.0
Residencial El Trapiche,290000.0,4,3.0,340.0,0.0
Colonia San Ignacio,420000.0,4,3.0,354.0,3.0
Colonia Loma Linda Norte,260000.0,4,3.0,260.0,4.0
Colonia Loma Linda Norte,260000.0,4,3.0,260.0,4.0
Residencial Las Uvas,235887.0,3,4.0,370.0,3.0
Residencial El Sauce,226000.0,7,6.0,450.0,3.0
Tegucigalpa,33553.0,2,1.0,52.0,1.0
Residencial Roble Oeste,173000.0,3,2.0,135.0,2.0
